candidate_project_id;;project_name;repository_url;lines_of_code;Percentile
54;;Flutter Task Manager;https://github.com/aratheunseen/flutter-task-manager;1132;10
52;;Instagram Clone;https://github.com/RivaanRanawat/instagram-flutter-clone;2444;30
49;;Mobile IoT Device;https://github.com/Wappsto/mobile-iot-device;5240;50
18;;Time Tracking App;https://github.com/hamaluik/timecop;10120;70
31;;Cross platform manager (phone assistant);https://github.com/air-controller/air-controller-desktop;31268;90
